NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
PARTIDO VERDE ECOLOGISTA DE MÉXICO,3,SENADORES RP,BENAVIDES COBOS GABRIELA,RAMIREZ ZOLLINO ANDREA GERALDINE,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,4,SENADORES RP,AREVALO GONZALEZ JOSE ANTONIO,CERNA HERNANDEZ EDGAR SAUL,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,5,SENADORES RP,GONZALEZ CERVANTES GERALDINE,ANGULO GASTELUM ADILENE,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,6,SENADORES RP,LIRA ALVAREZ MARTIN DE LA CRUZ,DELGADILLO CERVANTES JOSE LUIS,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,7,SENADORES RP,CAMPOS DE LA FUENTE MARIA PATRICIA,AGUAYO MORALES NORMA VIVIANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,8,SENADORES RP,RODRIGUEZ LÓPEZ PEDRO,PEREZ VALERO ERICK ALEJANDRO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,9,SENADORES RP,VELAZQUEZ CRUZ IVANA MARCELA,TAMAYO ESPINDOLA DANIELA LORENA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,10,SENADORES RP,GONZÁLEZ MARTÍNEZ JOSE,VAZQUEZ ALEGRIA WILBER,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,11,SENADORES RP,GONZALEZ BARCELO YOLANDA DEL SOCORRO,SANCHEZ ESPINOZA NADIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,12,SENADORES RP,CASTAÑEDA IBARRA JAVIER,GARCIA TALAVERA HUMBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,13,SENADORES RP,PRECIADO CANDELARIO YOLANDA,NANDO PRECIADO MELBA PATRICIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,14,SENADORES RP,CARRILLO FLORES FRANCISCO ALEJANDRO,CASTILLO RODRÍGUEZ JORGE ALONSO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,15,SENADORES RP,GUADARRAMA ZARATE MARIA GUADALUPE,GARCIA GARCIA LORENZA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,16,SENADORES RP,GUIJARRO HERNANDEZ JOSE LUIS,REYES PALACIOS ALBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,17,SENADORES RP,OREGEL CASTILLO MARICELA,VEGA BIESTRO JOANNA ALEJANDRA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,18,SENADORES RP,HURTADO SANCHEZ RAUL,DEL CASTILLO ROMERO ALFONSO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,19,SENADORES RP,SÁNCHEZ LÓPEZ NORMA ANAY,ZAMBRANO MORALES GLORIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,20,SENADORES RP,SANCHEZ BALLESTEROS SANTIAGO,TORRE AYALA JORGE,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,21,SENADORES RP,SANTANA DUARTE GABRIELA DEL ROSARIO,PECH PATRON TERESA DE JESUS,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,22,SENADORES RP,REYES FLORES MARTIN,GONZALEZ SALAZAR ISAURO JAVIER,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,23,SENADORES RP,RAMIREZ HERNANDEZ LILIANA,RIVERA GARCIA MARIA ALONDRA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,24,SENADORES RP,BARRERA NOVELO FERNANDO JOSÉ,AGUILAR MUÑOZ HECTOR,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,25,SENADORES RP,QUIJANO OJEDA CINTHIA DEL SOCORRO,CAMPOS SANDOVAL MABEL,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,26,SENADORES RP,RUIZ MACARIO ESTEBAN,QUINTERO UGALDE CESAR ALBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,27,SENADORES RP,ANZALMETTI GUTIERREZ MYRNA,SILVA BARRIOS ILLIANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,28,SENADORES RP,RIVERA VILLEGAS JUAN JESUS,FLORES LIMA MIGUEL,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,29,SENADORES RP,VAZQUEZ CRUZ MIRIAM,RODRIGUEZ TRANCOSO SUSANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,30,SENADORES RP,MUÑOZ BURGOS ARTURO,CAMACHO PRIMERO ALEJANDRO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,31,SENADORES RP,MONTES CAMACHO ANA MARIA,RAMIREZ MARTINEZ GABRIELA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,32,SENADORES RP,DÍAZ QUEVEDO LUIS,JUÁREZ AGUIRRE MANUEL ALEJANDRO,H,H
MOVIMIENTO CIUDADANO,1,SENADORES RP,MERCADO CASTRO DORA PATRICIA,ORTEGA DE LA CRUZ JESSICA MARIA GUADALUPE,M,M
MOVIMIENTO CIUDADANO,2,SENADORES RP,DELGADO RANNAURO DANTE ALFONSO,GARCIA SEPULVEDA SAMUEL ALEJANDRO,H,H
MOVIMIENTO CIUDADANO,3,SENADORES RP,ORANTES LOPEZ MARIA ELENA,DELGADILLO GARCIA VERONICA,M,M
MOVIMIENTO CIUDADANO,4,SENADORES RP,CHANONA BURGUETE ALEJANDRO,SAMPERIO MONTAÑO JUAN IGNACIO,H,H
MOVIMIENTO CIUDADANO,5,SENADORES RP,AVILA GARCIA VANIA ROXANA,LANDA GUERRERO NANCY YAEL,M,M
MOVIMIENTO CIUDADANO,6,SENADORES RP,VELASCO OLIVA JESUS CUAUHTEMOC,BASTIDA RODRIGUEZ JORGE,H,H
MOVIMIENTO CIUDADANO,7,SENADORES RP,FREGOSO ORTIZ MAGALY,RODRIGUEZ DE L´ORME NIKOL CARMEN,M,M
MOVIMIENTO CIUDADANO,8,SENADORES RP,MELO VELAZQUEZ JOSE FRANCISCO,TLAXCALTECO HERNANDEZ ALBERTO,H,H
