ESTADO_ELECCION,NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
AGUASCALIENTES,NUEVA ALIANZA,1,SENADORES MR,VAZQUEZ ALBOR DIEGO ARMANDO,ORNELAS IÑIGUEZ JAVIER,H,H
AGUASCALIENTES,NUEVA ALIANZA,2,SENADORES MR,CHAVEZ ALBA DELIA,MEDINA ARENAS MA. DEL CARMEN,M,M
BAJA CALIFORNIA,NUEVA ALIANZA,1,SENADORES MR,MONRREAL GASTELUM EFRAIN,KING RISTORI BENJAMIN,H,H
BAJA CALIFORNIA,NUEVA ALIANZA,2,SENADORES MR,LIZARRAGA SANCHEZ MARÍA DEL ROSARIO,BELTRAN DIARTE DIANA AZUCENA,M,M
BAJA CALIFORNIA SUR,NUEVA ALIANZA,1,SENADORES MR,MUNGUIA AVILES GUADALUPE,CUELLAR CRUZ AMELIA TRINIDAD,M,M
BAJA CALIFORNIA SUR,NUEVA ALIANZA,2,SENADORES MR,DEL RIEGO DE LOS SANTOS MANUEL,HIGUERA ZUÑIGA ALBERTO,H,H
CHIHUAHUA,NUEVA ALIANZA,1,SENADORES MR,ALAMILLO CALVILLO IRMA PATRICIA,SALAZAR BORJA GUADALUPE,M,M
CHIHUAHUA,NUEVA ALIANZA,2,SENADORES MR,VILLALBA MORENO ISIDRO,LOYA RAMIREZ ROBERTO CARLO,H,H
CIUDAD DE MEXICO,NUEVA ALIANZA,1,SENADORES MR,ACHACH IGLESIAS EDUARDO MIGUEL,SCHWANKE PADILLA TOMAS ENRIQUE,H,H
CIUDAD DE MEXICO,NUEVA ALIANZA,2,SENADORES MR,VINIEGRA RODRIGUEZ DENY ADEILAIDE,MARTINEZ HERNANDEZ GABRIELA,M,M
DURANGO,NUEVA ALIANZA,1,SENADORES MR,GARCIA CARO JOSE NIEVES,HERRERA GARCIA ALFONSO,H,H
DURANGO,NUEVA ALIANZA,2,SENADORES MR,TORRES IBARRA NINFA,HERNANDEZ TENORIO VERONICA,M,M
GUANAJUATO,NUEVA ALIANZA,1,SENADORES MR,MUÑOZ TORRES JOSE HUMBERTO,COVARRUBIAS RODRIGUEZ ESTEBAN,H,H
GUANAJUATO,NUEVA ALIANZA,2,SENADORES MR,BAÑUELOS SANCHEZ SONIA,FLORES RODRIGUEZ MA. ELEUTERIA,M,M
JALISCO,NUEVA ALIANZA,1,SENADORES MR,GONZALEZ PEREZ SANDRA BEATRIZ,ALONSO MENDOZA ESTHER,M,M
JALISCO,NUEVA ALIANZA,2,SENADORES MR,GALLARDO LOPEZ RAMON ERNESTO,HERRERA RUBIO EDGAR LEONEL,H,H
MICHOACAN,NUEVA ALIANZA,1,SENADORES MR,MORAILA MARTINEZ ARACELI ANGELES,LEON GARCIA NORMA LILIA,M,M
MICHOACAN,NUEVA ALIANZA,2,SENADORES MR,TORRES GARCIA RAFAEL,FREGOSO ROMERO AURELIO,H,H
NAYARIT,NUEVA ALIANZA,1,SENADORES MR,VALENZUELA ONTIVEROS LILIANA GUILLERMINA,CORTES GARCIA SAHILI TANZANIA,M,M
NAYARIT,NUEVA ALIANZA,2,SENADORES MR,CARRILLO GUZMAN MARTIN,ALVAREZ DELGADO ICKOV S IVAN,H,H
NUEVO LEON,NUEVA ALIANZA,1,SENADORES MR,SALDIVAR PAZ MIRNA ISABEL,VILLANUEVA PADILLA JOSEFINA,M,M
NUEVO LEON,NUEVA ALIANZA,2,SENADORES MR,GONZALEZ CABRIELES RUBEN,CARDENAS MARTINEZ LUIS ALFREDO,H,H
PUEBLA,NUEVA ALIANZA,1,SENADORES MR,CARRETO CHALINI NORMA ALICIA,AGUILAR ORDOÑEZ MARIA LUISA,M,M
PUEBLA,NUEVA ALIANZA,2,SENADORES MR,SALGADO NESTOR EMILIO,AGUILA ARGUELLES JOSE ALEJANDRO,H,H
QUERETARO,NUEVA ALIANZA,1,SENADORES MR,GUTIERREZ PEREZ LUIS ANGEL,SANDOVAL CHAVEZ SERGIO,H,H
QUERETARO,NUEVA ALIANZA,2,SENADORES MR,HUERTA TELLEZ DULCE JACQUELINA,RODRIGUEZ HERNANDEZ MARIA JOSE,M,M
TABASCO,NUEVA ALIANZA,1,SENADORES MR,RAMIREZ GARCIA MARGARITO,BAAS POOT MIGUEL GUADALUPE,H,H
TABASCO,NUEVA ALIANZA,2,SENADORES MR,SOSA ALAMILLA NATALIA,AGUIRE DIAZ GLORIA ALICIA,M,M
TAMAULIPAS,NUEVA ALIANZA,1,SENADORES MR,RAMOS SALINAS OSCAR MARTIN,OLIVARES GUERRERO JUAN CARLOS ALBERTO,H,H
TAMAULIPAS,NUEVA ALIANZA,2,SENADORES MR,SANTANA TURRUBIATES HILDA GRACIELA,PERALES ESPINOSA JOSELEN HAMMOR,M,M
HIDALGO,MORENA,1,SENADORES MR,GARCIA ARRIETA ANGELICA,GONZALEZ GONZALEZ MARIA MERCED,M,M
